GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
112,7,0.000,0.000,0.000,AStar,73.883,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,15.228,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.005,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,73.425,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.738,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.341,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,15.076,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.341,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.893,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,73.608,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,73.395,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,73.517,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.984,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.341,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.249,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.893,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.371,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.954,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,73.639,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.127,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.862,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,73.334,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.860,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,15.015,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.066,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,15.137,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,73.822,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,74.249,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.923,144,233.000,1373,2
112,7,0.000,0.000,0.000,AStar,73.364,147,223.000,4750,0
112,7,0.000,0.000,0.000,ILSWithAStar,14.954,144,233.000,1373,2
