GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
16,7,0.000,0.000,0.000,AStar,0.662,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.422,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.633,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.422,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.622,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.433,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.628,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.410,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.614,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.414,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.647,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.412,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.626,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.410,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.614,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.408,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.628,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.412,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.620,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.410,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.620,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.406,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.622,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.418,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.622,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.412,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.637,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.425,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.633,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.408,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.628,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.435,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.633,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.412,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.660,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.412,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.732,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.420,19,34.000,82,1
16,7,0.000,0.000,0.000,AStar,0.639,20,30.000,190,0
16,7,0.000,0.000,0.000,ILSWithAStar,0.408,19,34.000,82,1
