GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
80,7,0.000,0.000,0.000,AStar,49.881,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.059,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.308,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.059,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.110,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.044,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.491,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,3.983,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.552,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.044,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,51.727,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.089,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.201,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,3.998,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.293,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.074,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.507,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.105,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.552,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.089,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.354,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.044,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.278,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.044,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.018,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.105,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.552,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,3.998,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,49.927,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,3.998,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,49.927,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.059,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.720,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.044,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.476,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.028,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.217,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,3.998,97,162.000,522,1
80,7,0.000,0.000,0.000,AStar,50.354,99,160.000,3190,0
80,7,0.000,0.000,0.000,ILSWithAStar,4.044,97,162.000,522,1
