GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
64,7,0.000,0.000,0.000,AStar,33.180,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.466,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.585,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.337,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.249,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.207,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.607,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.390,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.592,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.505,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.440,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.352,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.356,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.444,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.447,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.444,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.318,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.634,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.485,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.390,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.325,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.329,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.356,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,13.893,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.318,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.337,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,33.005,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,15.671,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,32.852,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,12.550,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,34.264,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,13.268,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,34.241,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,13.268,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,34.119,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,13.107,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,34.256,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,13.519,82,126.000,988,3
64,7,0.000,0.000,0.000,AStar,36.629,85,126.000,2355,0
64,7,0.000,0.000,0.000,ILSWithAStar,17.776,82,126.000,988,3
