GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
128,7,0.000,0.000,0.000,AStar,502.380,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.721,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,506.989,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.721,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,507.507,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.813,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,509.796,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.782,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,510.040,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.904,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,511.383,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.751,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,508.087,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.782,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,511.719,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.843,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,506.775,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.782,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,508.179,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.782,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,506.714,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.874,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,510.010,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,10.925,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,506.409,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,8.270,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,508.667,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,8.270,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,514.526,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,10.834,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,523.468,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.751,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,505.493,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.904,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,507.416,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.813,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,501.068,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.751,157,257.000,788,1
128,7,0.000,0.000,0.000,AStar,508.453,172,253.000,10402,0
128,7,0.000,0.000,0.000,ILSWithAStar,7.843,157,257.000,788,1
