GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
112,7,0.000,0.000,0.000,AStar,89.539,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.207,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,90.210,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.268,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,89.844,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.329,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,89.508,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.695,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,89.752,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.299,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,88.806,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.299,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,88.531,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.115,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,88.715,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.238,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,89.111,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.268,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,90.668,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.146,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,89.355,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.299,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,89.081,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.177,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,88.989,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.360,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,89.172,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.238,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,90.576,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.207,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,89.447,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,15.381,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,90.790,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.695,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,91.461,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.848,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,90.607,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,12.787,135,225.000,1385,2
112,7,0.000,0.000,0.000,AStar,90.790,153,223.000,4598,0
112,7,0.000,0.000,0.000,ILSWithAStar,13.275,135,225.000,1385,2
