GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
48,7,0.000,0.000,0.000,AStar,7.500,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.304,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.416,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.151,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.225,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.197,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.141,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.151,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.271,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.167,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.317,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.190,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.263,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.182,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.309,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.190,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.225,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.174,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.256,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.151,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.187,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.167,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.202,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.159,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.278,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.129,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.210,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.136,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.263,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.106,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.263,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.213,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.172,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.159,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.202,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.144,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.233,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.151,58,101.000,259,1
48,7,0.000,0.000,0.000,AStar,7.164,64,95.000,1113,0
48,7,0.000,0.000,0.000,ILSWithAStar,2.167,58,101.000,259,1
