GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
128,7,0.000,0.000,0.000,AStar,8153.320,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.513,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,186.707,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.456,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.306,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8334.961,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.818,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,191.895,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.944,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,27.161,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8280.762,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.452,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,184.265,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.761,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.978,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8350.098,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.940,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,186.218,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.578,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.672,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8282.898,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.757,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,185.242,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.822,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.733,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8336.486,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,26.001,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,185.547,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.822,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.855,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8236.938,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.818,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,187.439,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.639,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,27.161,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8307.068,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.757,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,185.181,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.639,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.978,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8276.489,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,26.489,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,184.692,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.456,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,27.039,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8278.260,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,27.222,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,186.951,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.639,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.855,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8311.035,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,26.184,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,186.523,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.944,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,27.710,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8361.023,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.696,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,189.087,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.883,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.855,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8218.934,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,26.123,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,186.829,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,18.616,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,27.710,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8144.531,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,26.550,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,197.144,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.273,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.428,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8132.202,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.574,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,186.279,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,18.066,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.550,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8148.438,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.269,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,184.631,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.517,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.855,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8259.217,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,26.306,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,192.749,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,18.127,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.794,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8288.696,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,26.611,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,186.462,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.761,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,27.283,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8272.277,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.940,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,186.035,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.700,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.794,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8306.457,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,26.428,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,185.608,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.578,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.550,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8153.320,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.513,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,186.707,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.456,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.306,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8334.961,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.818,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,191.895,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.944,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,27.161,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8280.762,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.452,150,18562.000,854,0
128,7,0.000,0.000,0.000,JPS,184.265,129,17059.000,4525,0
128,7,0.000,0.000,0.000,ILSWithAStar,17.761,141,17323.000,899,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.978,150,18678.000,854,1
128,7,0.000,0.000,0.000,AStar,8350.098,144,17169.000,13173,0
128,7,0.000,0.000,0.000,GBFS,25.940,150,18562.000,854,0
