GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,SpaceTaken,PathLength,PathCost,CorridorIterations
10,10,33.000,50.000,75.000,AStar,3.970,-327680.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,14.884,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.710,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,12.628,0.000,9,75.000,1
10,10,33.000,50.000,75.000,AStar,2.704,0.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,12.603,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.203,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,13.193,0.000,9,75.000,1
10,10,33.000,50.000,75.000,AStar,2.740,0.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,12.758,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.206,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,13.348,0.000,9,75.000,1
10,10,33.000,50.000,75.000,AStar,2.706,0.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,12.715,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.203,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,12.721,0.000,9,75.000,1
10,10,33.000,50.000,75.000,AStar,2.735,0.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,13.452,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.202,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,15.226,0.000,9,75.000,1
10,10,33.000,50.000,75.000,AStar,2.727,0.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,14.009,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.207,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,13.215,0.000,9,75.000,1
10,10,33.000,50.000,75.000,AStar,2.733,0.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,13.302,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.202,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,13.034,0.000,9,75.000,1
10,10,33.000,50.000,75.000,AStar,2.645,0.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,13.198,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.207,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,12.962,0.000,9,75.000,1
10,10,33.000,50.000,75.000,AStar,2.549,0.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,12.990,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.208,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,13.339,0.000,9,75.000,1
10,10,33.000,50.000,75.000,AStar,2.753,0.000,10,58.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,13.144,0.000,10,97.000,1
10,10,33.000,50.000,75.000,GBFS,0.202,0.000,9,75.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,12.614,0.000,9,75.000,1
