GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
64,10,0.000,0.000,0.000,AStar,149.063,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,5.981,69,3912.000,416,0
64,10,0.000,0.000,0.000,JPS,13.977,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,54.169,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.607,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,152.725,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.027,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,14.038,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,54.108,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.332,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,154.144,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.088,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,13.901,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,58.304,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.378,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,151.886,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.042,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,13.947,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,53.909,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.393,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,153.259,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.058,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,14.511,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,55.511,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.485,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,154.007,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.287,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,14.481,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,55.634,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.592,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,154.663,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.210,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,14.908,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,55.237,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.592,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,153.946,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.042,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,14.343,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,54.596,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,8.484,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,151.871,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.577,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,18.829,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,60.501,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.638,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,153.793,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.409,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,34.836,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,54.230,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.348,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,152.435,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,5.936,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,13.443,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,53.574,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.546,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,152.542,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,5.981,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,13.535,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,53.955,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.561,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,151.703,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.042,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,14.572,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,53.467,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.393,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,148.117,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.088,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,13.535,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,53.024,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.241,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,149.811,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.134,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,13.458,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,53.238,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.287,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,149.094,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,6.012,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,13.397,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,54.565,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.317,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,150.909,73,4087.000,1675,0
64,10,0.000,0.000,0.000,GBFS,5.997,69,3928.000,416,0
64,10,0.000,0.000,0.000,JPS,13.458,68,4350.000,579,0
64,10,0.000,0.000,0.000,ILSWithAStar,53.070,71,3897.000,1307,3
64,10,0.000,0.000,0.000,ILSWithGBFS,6.256,69,3970.000,416,1
64,10,0.000,0.000,0.000,AStar,152.054,73,4087.000,1675,0
