GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
16,7,0.000,0.000,0.000,AStar,21.475,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.904,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.184,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,3.069,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.259,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.517,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.192,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.181,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.871,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.247,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.239,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.141,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.171,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.904,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.284,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,21.296,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.144,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.150,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.884,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.284,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.216,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.154,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.120,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.860,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.242,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.742,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.171,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.070,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.848,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.257,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.290,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.152,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.150,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.873,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.247,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.638,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.158,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.087,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.846,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.257,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.494,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.167,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.066,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.879,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.245,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.388,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.135,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.139,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.873,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.255,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.494,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.175,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.101,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.881,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.247,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.678,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.158,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.129,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.867,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.383,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.882,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.175,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.118,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.917,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.305,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.752,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.165,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.083,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.865,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.249,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.678,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.158,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.106,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.945,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.289,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.575,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.198,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.080,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.863,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.297,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.557,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.158,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.060,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.856,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.261,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.603,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.183,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.091,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.860,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.244,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.369,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.133,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.060,18,263.000,70,0
16,7,0.000,0.000,0.000,ILSWithAStar,1.909,18,260.000,146,1
16,7,0.000,0.000,0.000,ILSWithGBFS,1.251,19,292.000,157,1
16,7,0.000,0.000,0.000,AStar,20.212,18,260.000,532,0
16,7,0.000,0.000,0.000,GBFS,1.148,19,292.000,157,0
16,7,0.000,0.000,0.000,JPS,1.053,18,263.000,70,0
