GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
96,7,0.000,0.000,0.000,AStar,15494.580,98,8785.000,15554,0
96,7,0.000,0.000,0.000,GBFS,27.496,104,9694.000,857,0
96,7,0.000,0.000,0.000,JPS,26.184,87,7776.000,1065,0
96,7,0.000,0.000,0.000,ILSWithAStar,175.133,98,8758.000,1732,2
96,7,0.000,0.000,0.000,ILSWithGBFS,26.817,104,9794.000,857,1
96,7,0.000,0.000,0.000,AStar,16246.420,98,8785.000,15554,0
96,7,0.000,0.000,0.000,GBFS,26.474,104,9694.000,857,0
96,7,0.000,0.000,0.000,JPS,26.329,87,7776.000,1065,0
96,7,0.000,0.000,0.000,ILSWithAStar,176.628,98,8758.000,1732,2
96,7,0.000,0.000,0.000,ILSWithGBFS,27.176,104,9794.000,857,1
96,7,0.000,0.000,0.000,AStar,16253.910,98,8785.000,15554,0
96,7,0.000,0.000,0.000,GBFS,27.214,104,9694.000,857,0
96,7,0.000,0.000,0.000,JPS,26.321,87,7776.000,1065,0
96,7,0.000,0.000,0.000,ILSWithAStar,177.033,98,8758.000,1732,2
96,7,0.000,0.000,0.000,ILSWithGBFS,27.283,104,9794.000,857,1
96,7,0.000,0.000,0.000,AStar,16400.220,98,8785.000,15554,0
96,7,0.000,0.000,0.000,GBFS,26.505,104,9694.000,857,0
96,7,0.000,0.000,0.000,JPS,27.756,87,7776.000,1065,0
96,7,0.000,0.000,0.000,ILSWithAStar,177.261,98,8758.000,1732,2
96,7,0.000,0.000,0.000,ILSWithGBFS,26.505,104,9794.000,857,1
96,7,0.000,0.000,0.000,AStar,16435.170,98,8785.000,15554,0
96,7,0.000,0.000,0.000,GBFS,27.252,104,9694.000,857,0
96,7,0.000,0.000,0.000,JPS,27.374,87,7776.000,1065,0
96,7,0.000,0.000,0.000,ILSWithAStar,181.015,98,8758.000,1732,2
96,7,0.000,0.000,0.000,ILSWithGBFS,27.451,104,9794.000,857,1
96,7,0.000,0.000,0.000,AStar,16301.760,98,8785.000,15554,0
96,7,0.000,0.000,0.000,GBFS,27.023,104,9694.000,857,0
96,7,0.000,0.000,0.000,JPS,27.054,87,7776.000,1065,0
