GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
80,7,0.000,0.000,0.000,AStar,1424.896,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,11.444,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,39.276,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,14.679,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.597,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1430.298,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,10.834,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,38.483,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,14.496,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.292,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1437.622,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,11.230,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,38.177,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,14.404,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.292,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1432.159,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,10.925,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,38.300,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,17.059,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.268,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1438.507,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,11.444,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,43.671,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,17.731,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.054,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1440.002,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,11.200,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,53.711,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,13.733,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.353,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1408.752,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,10.773,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,36.499,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,13.580,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,10.925,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1414.795,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,10.712,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,36.530,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,14.984,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.169,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1430.450,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,11.719,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,41.809,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,14.526,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.841,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1416.992,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,10.925,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,36.438,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,13.580,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.169,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1417.328,74,4833.000,5332,0
80,7,0.000,0.000,0.000,GBFS,10.712,92,6621.000,529,0
80,7,0.000,0.000,0.000,JPS,36.530,77,5125.000,1333,0
80,7,0.000,0.000,0.000,ILSWithAStar,13.489,74,4833.000,727,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.108,92,6635.000,529,1
80,7,0.000,0.000,0.000,AStar,1403.717,74,4833.000,5332,0
