GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
80,7,0.000,0.000,0.000,AStar,524.841,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,12.238,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.705,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.491,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.238,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,521.301,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.963,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.430,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.308,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.963,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,523.651,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.841,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.430,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.399,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.268,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,525.879,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.780,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.491,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.460,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.268,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,527.039,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.932,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.278,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.369,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.238,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,525.055,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.902,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.400,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.491,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.146,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,523.407,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.902,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.369,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.308,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.993,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,519.775,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.780,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.369,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.399,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.177,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,522.278,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.993,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.430,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.399,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.146,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,523.651,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,12.054,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.400,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.491,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.177,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,518.738,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,12.146,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.369,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.399,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,11.749,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,518.524,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.932,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.308,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.247,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.024,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,519.013,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.902,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.430,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.430,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.085,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,525.116,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.871,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.827,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.491,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.115,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,518.738,91,6036.000,4223,0
80,7,0.000,0.000,0.000,GBFS,11.810,98,6346.000,553,0
80,7,0.000,0.000,0.000,JPS,22.705,69,4650.000,1026,0
80,7,0.000,0.000,0.000,ILSWithAStar,9.491,81,5614.000,650,2
80,7,0.000,0.000,0.000,ILSWithGBFS,12.115,98,6374.000,553,1
80,7,0.000,0.000,0.000,AStar,521.729,91,6036.000,4223,0
