GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
128,7,0.000,0.000,0.000,AStar,725.037,155,18568.000,3948,0
128,7,0.000,0.000,0.000,GBFS,23.926,161,20685.000,831,0
128,7,0.000,0.000,0.000,JPS,53.162,133,17341.000,2196,0
128,7,0.000,0.000,0.000,ILSWithAStar,9.766,144,18395.000,798,1
128,7,0.000,0.000,0.000,ILSWithGBFS,24.658,161,20783.000,831,1
128,7,0.000,0.000,0.000,AStar,736.939,155,18568.000,3948,0
128,7,0.000,0.000,0.000,GBFS,25.085,161,20685.000,831,0
128,7,0.000,0.000,0.000,JPS,56.213,133,17341.000,2196,0
128,7,0.000,0.000,0.000,ILSWithAStar,10.071,144,18395.000,798,1
128,7,0.000,0.000,0.000,ILSWithGBFS,25.574,161,20783.000,831,1
128,7,0.000,0.000,0.000,AStar,724.548,155,18568.000,3948,0
128,7,0.000,0.000,0.000,GBFS,23.560,161,20685.000,831,0
128,7,0.000,0.000,0.000,JPS,53.833,133,17341.000,2196,0
128,7,0.000,0.000,0.000,ILSWithAStar,9.766,144,18395.000,798,1
128,7,0.000,0.000,0.000,ILSWithGBFS,25.024,161,20783.000,831,1
128,7,0.000,0.000,0.000,AStar,742.676,155,18568.000,3948,0
128,7,0.000,0.000,0.000,GBFS,24.658,161,20685.000,831,0
128,7,0.000,0.000,0.000,JPS,53.894,133,17341.000,2196,0
128,7,0.000,0.000,0.000,ILSWithAStar,9.766,144,18395.000,798,1
128,7,0.000,0.000,0.000,ILSWithGBFS,24.963,161,20783.000,831,1
128,7,0.000,0.000,0.000,AStar,743.530,155,18568.000,3948,0
128,7,0.000,0.000,0.000,GBFS,25.085,161,20685.000,831,0
128,7,0.000,0.000,0.000,JPS,53.894,133,17341.000,2196,0
128,7,0.000,0.000,0.000,ILSWithAStar,9.766,144,18395.000,798,1
128,7,0.000,0.000,0.000,ILSWithGBFS,25.146,161,20783.000,831,1
128,7,0.000,0.000,0.000,AStar,742.310,155,18568.000,3948,0
128,7,0.000,0.000,0.000,GBFS,24.780,161,20685.000,831,0
128,7,0.000,0.000,0.000,JPS,54.199,133,17341.000,2196,0
128,7,0.000,0.000,0.000,ILSWithAStar,9.766,144,18395.000,798,1
128,7,0.000,0.000,0.000,ILSWithGBFS,26.001,161,20783.000,831,1
128,7,0.000,0.000,0.000,AStar,743.530,155,18568.000,3948,0
128,7,0.000,0.000,0.000,GBFS,24.536,161,20685.000,831,0
128,7,0.000,0.000,0.000,JPS,53.528,133,17341.000,2196,0
128,7,0.000,0.000,0.000,ILSWithAStar,9.766,144,18395.000,798,1
128,7,0.000,0.000,0.000,ILSWithGBFS,24.963,161,20783.000,831,1
128,7,0.000,0.000,0.000,AStar,739.075,155,18568.000,3948,0
128,7,0.000,0.000,0.000,GBFS,24.902,161,20685.000,831,0
128,7,0.000,0.000,0.000,JPS,54.016,133,17341.000,2196,0
128,7,0.000,0.000,0.000,ILSWithAStar,9.827,144,18395.000,798,1
