GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
96,7,0.000,0.000,0.000,AStar,2060.150,108,9268.000,6216,0
96,7,0.000,0.000,0.000,GBFS,18.005,114,10489.000,675,0
96,7,0.000,0.000,0.000,JPS,16.541,86,7791.000,855,0
96,7,0.000,0.000,0.000,ILSWithAStar,6.348,104,9510.000,515,1
96,7,0.000,0.000,0.000,ILSWithGBFS,18.982,114,10583.000,675,1
96,7,0.000,0.000,0.000,AStar,2065.338,108,9268.000,6216,0
96,7,0.000,0.000,0.000,GBFS,18.158,114,10489.000,675,0
96,7,0.000,0.000,0.000,JPS,16.296,86,7791.000,855,0
96,7,0.000,0.000,0.000,ILSWithAStar,5.798,104,9510.000,515,1
96,7,0.000,0.000,0.000,ILSWithGBFS,18.646,114,10583.000,675,1
96,7,0.000,0.000,0.000,AStar,2071.320,108,9268.000,6216,0
96,7,0.000,0.000,0.000,GBFS,18.158,114,10489.000,675,0
96,7,0.000,0.000,0.000,JPS,17.700,86,7791.000,855,0
96,7,0.000,0.000,0.000,ILSWithAStar,5.859,104,9510.000,515,1
96,7,0.000,0.000,0.000,ILSWithGBFS,18.799,114,10583.000,675,1
96,7,0.000,0.000,0.000,AStar,2074.310,108,9268.000,6216,0
96,7,0.000,0.000,0.000,GBFS,18.677,114,10489.000,675,0
96,7,0.000,0.000,0.000,JPS,16.602,86,7791.000,855,0
96,7,0.000,0.000,0.000,ILSWithAStar,5.859,104,9510.000,515,1
96,7,0.000,0.000,0.000,ILSWithGBFS,19.012,114,10583.000,675,1
96,7,0.000,0.000,0.000,AStar,2087.830,108,9268.000,6216,0
96,7,0.000,0.000,0.000,GBFS,18.036,114,10489.000,675,0
96,7,0.000,0.000,0.000,JPS,16.205,86,7791.000,855,0
96,7,0.000,0.000,0.000,ILSWithAStar,5.737,104,9510.000,515,1
96,7,0.000,0.000,0.000,ILSWithGBFS,18.738,114,10583.000,675,1
96,7,0.000,0.000,0.000,AStar,2076.874,108,9268.000,6216,0
96,7,0.000,0.000,0.000,GBFS,18.860,114,10489.000,675,0
96,7,0.000,0.000,0.000,JPS,16.205,86,7791.000,855,0
96,7,0.000,0.000,0.000,ILSWithAStar,5.859,104,9510.000,515,1
96,7,0.000,0.000,0.000,ILSWithGBFS,18.982,114,10583.000,675,1
96,7,0.000,0.000,0.000,AStar,2074.951,108,9268.000,6216,0
96,7,0.000,0.000,0.000,GBFS,18.433,114,10489.000,675,0
96,7,0.000,0.000,0.000,JPS,15.930,86,7791.000,855,0
96,7,0.000,0.000,0.000,ILSWithAStar,5.798,104,9510.000,515,1
96,7,0.000,0.000,0.000,ILSWithGBFS,18.982,114,10583.000,675,1
96,7,0.000,0.000,0.000,AStar,2087.128,108,9268.000,6216,0
96,7,0.000,0.000,0.000,GBFS,18.341,114,10489.000,675,0
96,7,0.000,0.000,0.000,JPS,16.266,86,7791.000,855,0
96,7,0.000,0.000,0.000,ILSWithAStar,5.890,104,9510.000,515,1
96,7,0.000,0.000,0.000,ILSWithGBFS,18.890,114,10583.000,675,1
96,7,0.000,0.000,0.000,AStar,2081.390,108,9268.000,6216,0
96,7,0.000,0.000,0.000,GBFS,18.097,114,10489.000,675,0
96,7,0.000,0.000,0.000,JPS,16.113,86,7791.000,855,0
96,7,0.000,0.000,0.000,ILSWithAStar,5.768,104,9510.000,515,1
96,7,0.000,0.000,0.000,ILSWithGBFS,18.890,114,10583.000,675,1
