GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,CorridorIterations
32,7,0.000,0.000,0.000,AStar,87.738,35,1110.000,1166,0
32,7,0.000,0.000,0.000,GBFS,3.357,37,1218.000,278,0
32,7,0.000,0.000,0.000,JPS,143.951,35,1063.000,160,0
32,7,0.000,0.000,0.000,ILSWithAStar,4.662,35,1110.000,261,1
32,7,0.000,0.000,0.000,ILSWithGBFS,3.624,37,1224.000,278,1
32,7,0.000,0.000,0.000,AStar,89.615,35,1110.000,1166,0
32,7,0.000,0.000,0.000,GBFS,3.365,37,1218.000,278,0
32,7,0.000,0.000,0.000,JPS,149.727,35,1063.000,160,0
32,7,0.000,0.000,0.000,ILSWithAStar,4.616,35,1110.000,261,1
32,7,0.000,0.000,0.000,ILSWithGBFS,3.471,37,1224.000,278,1
32,7,0.000,0.000,0.000,AStar,89.157,35,1110.000,1166,0
32,7,0.000,0.000,0.000,GBFS,3.433,37,1218.000,278,0
32,7,0.000,0.000,0.000,JPS,144.302,35,1063.000,160,0
32,7,0.000,0.000,0.000,ILSWithAStar,4.829,35,1110.000,261,1
32,7,0.000,0.000,0.000,ILSWithGBFS,3.632,37,1224.000,278,1
32,7,0.000,0.000,0.000,AStar,94.849,35,1110.000,1166,0
32,7,0.000,0.000,0.000,GBFS,3.395,37,1218.000,278,0
32,7,0.000,0.000,0.000,JPS,190.697,35,1063.000,160,0
32,7,0.000,0.000,0.000,ILSWithAStar,4.852,35,1110.000,261,1
32,7,0.000,0.000,0.000,ILSWithGBFS,3.456,37,1224.000,278,1
32,7,0.000,0.000,0.000,AStar,86.861,35,1110.000,1166,0
32,7,0.000,0.000,0.000,GBFS,3.365,37,1218.000,278,0
32,7,0.000,0.000,0.000,JPS,136.177,35,1063.000,160,0
32,7,0.000,0.000,0.000,ILSWithAStar,4.608,35,1110.000,261,1
32,7,0.000,0.000,0.000,ILSWithGBFS,3.502,37,1224.000,278,1
32,7,0.000,0.000,0.000,AStar,87.059,35,1110.000,1166,0
32,7,0.000,0.000,0.000,GBFS,3.311,37,1218.000,278,0
32,7,0.000,0.000,0.000,JPS,138.245,35,1063.000,160,0
32,7,0.000,0.000,0.000,ILSWithAStar,4.517,35,1110.000,261,1
32,7,0.000,0.000,0.000,ILSWithGBFS,3.410,37,1224.000,278,1
32,7,0.000,0.000,0.000,AStar,86.739,35,1110.000,1166,0
