GridSize,ObstacleDensity,Algorithm,TimeTaken,PathLength,PathCost,VisitedNodes,
64,10.000,Dijkstra,92.926,67,91.296,11592
64,10.000,ILSWithAStar,5.310,70,92.417,622
64,10.000,ILSWithGBFS,10.956,68,95.156,634
64,10.000,ILSWithDijkstra,6.897,70,92.417,621
64,10.000,AStar,51.056,67,91.296,2818
64,10.000,GBFS,10.925,68,95.156,634
64,10.000,JPS,51.666,56,94.175,1885
64,10.000,Dijkstra,94.269,67,91.296,11592
64,10.000,ILSWithAStar,5.280,70,92.417,622
64,10.000,ILSWithGBFS,10.651,68,95.156,634
64,10.000,ILSWithDijkstra,5.859,70,92.417,621
64,10.000,AStar,52.246,67,91.296,2818
64,10.000,GBFS,10.315,68,95.156,634
64,10.000,JPS,50.537,56,94.175,1885
64,10.000,Dijkstra,93.536,67,91.296,11592
64,10.000,ILSWithAStar,5.432,70,92.417,622
64,10.000,ILSWithGBFS,11.017,68,95.156,634
64,10.000,ILSWithDijkstra,7.690,70,92.417,621
64,10.000,AStar,51.361,67,91.296,2818
64,10.000,GBFS,10.498,68,95.156,634
64,10.000,JPS,50.110,56,94.175,1885
64,10.000,Dijkstra,93.842,67,91.296,11592
64,10.000,ILSWithAStar,5.280,70,92.417,622
64,10.000,ILSWithGBFS,10.651,68,95.156,634
64,10.000,ILSWithDijkstra,6.012,70,92.417,621
64,10.000,AStar,52.185,67,91.296,2818
64,10.000,GBFS,10.315,68,95.156,634
64,10.000,JPS,50.903,56,94.175,1885
64,10.000,Dijkstra,93.567,67,91.296,11592
64,10.000,ILSWithAStar,5.524,70,92.417,622
64,10.000,ILSWithGBFS,11.261,68,95.156,634
64,10.000,ILSWithDijkstra,6.775,70,92.417,621
