GridSize,MaxHeight,OffsetX,OffsetY,OffsetZ,Algorithm,TimeTaken,SpaceTaken,PathLength,PathCost,CorridorIterations
10,10,33.000,50.000,75.000,AStar,20.947,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,269.173,12288.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,16.060,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,68.867,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,20.149,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,272.141,-12288.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,17.788,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,69.195,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,20.321,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,265.610,12288.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,15.808,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,66.463,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,21.194,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,261.467,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,15.747,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,64.125,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,20.325,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,266.155,-12288.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,16.670,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,65.506,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,20.035,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,268.524,-12288.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,16.136,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,66.875,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,19.943,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,265.285,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,15.968,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,64.014,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,19.875,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,263.580,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,16.514,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,65.174,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,19.257,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,261.028,0.000,10,86.000,5
10,10,33.000,50.000,75.000,GBFS,16.296,0.000,12,121.000,0
10,10,33.000,50.000,75.000,ILSWithGBFS,66.360,0.000,12,121.000,1
10,10,33.000,50.000,75.000,AStar,19.615,0.000,10,92.000,0
10,10,33.000,50.000,75.000,ILSWithAStar,261.414,0.000,10,86.000,5
